Date,Offline_Spend,Online_Spend,Total_Spend,Online_Pct,Offline_Pct
2019-04-30,3000,1799.66,4799.66,0.375,0.625
2019-05-01,3000,1108.88,4108.88,0.2699,0.7301
2019-05-02,3000,732.47,3732.4700000000003,0.1962,0.8038
2019-05-03,3000,2406.31,5406.3099999999995,0.4451,0.5549
2019-05-04,3000,2407.55,5407.55,0.4452,0.5548
2019-05-05,3000,1177.76,4177.76,0.2819,0.7181
2019-05-06,3000,2100.89,5100.889999999999,0.4119,0.5881
2019-05-07,3000,2271.0,5271.0,0.4308,0.5692
2019-05-08,3000,869.25,3869.25,0.2247,0.7753
2019-05-09,3000,1771.32,4771.32,0.3712,0.6288
2019-05-10,3000,1942.13,4942.13,0.393,0.607
2019-05-11,3000,1801.66,4801.66,0.3752,0.6248
2019-05-12,3000,2113.63,5113.63,0.4133,0.5867
2019-05-13,3000,2697.6,5697.6,0.4735,0.5265
2019-05-14,2500,2151.7,4651.7,0.4626,0.5374
2019-05-15,2500,682.42,3182.42,0.2144,0.7856
2019-05-16,2500,1605.63,4105.63,0.3911,0.6089
2019-05-17,2500,3052.49,5552.49,0.5498,0.4502
2019-05-18,2500,2805.79,5305.79,0.5288,0.4712
2019-05-19,2500,2331.31,4831.3099999999995,0.4825,0.5175
2019-05-20,2500,2298.34,4798.34,0.479,0.521
2019-05-21,1000,882.98,1882.98,0.4689,0.5311
2019-05-22,1000,979.08,1979.08,0.4947,0.5053
2019-05-23,1000,1196.03,2196.0299999999997,0.5446,0.4554
2019-05-24,1000,670.51,1670.51,0.4014,0.5986
2019-05-25,1000,2565.75,3565.75,0.7196,0.2804
2019-05-26,1000,2752.13,3752.13,0.7335,0.2665
2019-05-27,1000,1976.31,2976.31,0.664,0.336
2019-05-28,500,465.4,965.4,0.4821,0.5179
2019-05-29,500,670.64,1170.6399999999999,0.5729,0.4271
2019-05-30,500,1262.38,1762.38,0.7163,0.2837
2019-05-31,500,1010.3,1510.3,0.6689,0.3311
2019-06-01,500,320.25,820.25,0.3904,0.6096
2019-06-02,500,1622.46,2122.46,0.7644,0.2356
2019-06-03,500,1230.43,1730.43,0.7111,0.2889
2019-06-04,3500,2553.18,6053.18,0.4218,0.5782
2019-06-05,3500,3202.1,6702.1,0.4778,0.5222
2019-06-06,3500,1126.87,4626.87,0.2435,0.7565
2019-06-07,3500,1694.16,5194.16,0.3262,0.6738
2019-06-08,3500,1598.46,5098.46,0.3135,0.6865
2019-06-09,3500,2940.1,6440.1,0.4565,0.5435
2019-06-10,3500,1881.94,5381.9400000000005,0.3497,0.6503
2019-06-11,3000,1428.32,4428.32,0.3225,0.6775
2019-06-12,3000,2321.52,5321.52,0.4363,0.5637
2019-06-13,3000,1084.43,4084.4300000000003,0.2655,0.7345
2019-06-14,3000,1749.49,4749.49,0.3684,0.6316
2019-06-15,3000,1919.84,4919.84,0.3902,0.6098
2019-06-16,3000,2009.36,5009.36,0.4011,0.5989
2019-06-17,3000,2743.71,5743.71,0.4777,0.5223
2019-06-18,3500,2289.42,5789.42,0.3954,0.6046
2019-06-19,3500,2617.14,6117.139999999999,0.4278,0.5722
2019-06-20,3500,1019.59,4519.59,0.2256,0.7744
2019-06-21,3500,1473.98,4973.98,0.2963,0.7037
2019-06-22,3500,2217.07,5717.07,0.3878,0.6122
2019-06-23,3500,2283.08,5783.08,0.3948,0.6052
2019-06-24,3500,1975.15,5475.15,0.3607,0.6393
2019-06-25,1500,956.13,2456.13,0.3893,0.6107
2019-06-26,1500,1478.19,2978.19,0.4963,0.5037
2019-06-27,1500,649.14,2149.14,0.302,0.698
2019-06-28,1500,1709.84,3209.84,0.5327,0.4673
2019-06-29,1500,2652.13,4152.13,0.6387,0.3613
2019-06-30,1500,1070.66,2570.66,0.4165,0.5835
2019-07-01,1500,1932.64,3432.6400000000003,0.563,0.437
2019-07-02,2000,1108.03,3108.0299999999997,0.3565,0.6435
2019-07-03,2000,526.96,2526.96,0.2085,0.7915
2019-07-04,2000,2227.95,4227.95,0.527,0.473
2019-07-05,2000,2103.13,4103.13,0.5126,0.4874
2019-07-06,2000,2663.67,4663.67,0.5712,0.4288
2019-07-07,2000,2249.45,4249.45,0.5294,0.4706
2019-07-08,2000,2553.01,4553.01,0.5607,0.4393
2019-07-09,2500,1870.67,4370.67,0.428,0.572
2019-07-10,2500,1240.47,3740.4700000000003,0.3316,0.6684
2019-07-11,2500,1128.09,3628.09,0.3109,0.6891
2019-07-12,2500,923.4,3423.4,0.2697,0.7303
2019-07-13,2500,2489.36,4989.360000000001,0.4989,0.5011
2019-07-14,2500,2064.34,4564.34,0.4523,0.5477
2019-07-15,2500,1616.22,4116.22,0.3926,0.6074
2019-07-16,2000,1163.11,3163.1099999999997,0.3677,0.6323
2019-07-17,2000,1331.1,3331.1,0.3996,0.6004
2019-07-18,2000,2408.61,4408.610000000001,0.5463,0.4537
2019-07-19,2000,3444.24,5444.24,0.6326,0.3674
2019-07-20,2000,2097.22,4097.219999999999,0.5119,0.4881
2019-07-21,2000,1253.24,3253.24,0.3852,0.6148
2019-07-22,2000,2521.31,4521.3099999999995,0.5577,0.4423
2019-07-23,2500,1760.92,4260.92,0.4133,0.5867
2019-07-24,2500,850.14,3350.14,0.2538,0.7462
2019-07-25,2500,1169.05,3669.05,0.3186,0.6814
2019-07-26,2500,1627.19,4127.1900000000005,0.3943,0.6057
2019-07-27,2500,1151.7,3651.7,0.3154,0.6846
2019-07-28,2500,2425.35,4925.35,0.4924,0.5076
2019-07-29,2500,1353.73,3853.73,0.3513,0.6487
2019-07-30,1500,478.27,1978.27,0.2418,0.7582
2019-07-31,1500,985.28,2485.2799999999997,0.3964,0.6036
2019-08-01,1500,641.12,2141.12,0.2994,0.7006
2019-08-02,1500,2155.96,3655.96,0.5897,0.4103
2019-08-03,1500,2493.64,3993.64,0.6244,0.3756
2019-08-04,1500,2688.98,4188.98,0.6419,0.3581
2019-08-05,1500,2016.04,3516.04,0.5734,0.4266
2019-08-06,3000,1143.02,4143.02,0.2759,0.7241
2019-08-07,3000,1946.56,4946.5599999999995,0.3935,0.6065
2019-08-08,3000,1486.8,4486.8,0.3314,0.6686
2019-08-09,3000,2285.79,5285.79,0.4324,0.5676
2019-08-10,3000,1662.28,4662.28,0.3565,0.6435
2019-08-11,3000,2563.83,5563.83,0.4608,0.5392
2019-08-12,3000,1890.41,4890.41,0.3866,0.6134
2019-08-13,3500,1846.18,5346.18,0.3453,0.6547
2019-08-14,3500,1984.92,5484.92,0.3619,0.6381
2019-08-15,3500,1122.49,4622.49,0.2428,0.7572
2019-08-16,3500,1692.8,5192.8,0.326,0.674
2019-08-17,3500,3352.38,6852.38,0.4892,0.5108
2019-08-18,3500,1696.64,5196.64,0.3265,0.6735
2019-08-19,3500,2574.56,6074.5599999999995,0.4238,0.5762
2019-08-20,2500,1480.23,3980.23,0.3719,0.6281
2019-08-21,2500,1528.1,4028.1,0.3794,0.6206
2019-08-22,2500,1172.96,3672.96,0.3194,0.6806
2019-08-23,2500,1901.56,4401.5599999999995,0.432,0.568
2019-08-24,2500,2168.34,4668.34,0.4645,0.5355
2019-08-25,2500,1941.38,4441.38,0.4371,0.5629
2019-08-26,2500,1094.77,3594.77,0.3045,0.6955
2019-08-27,3000,2117.28,5117.280000000001,0.4138,0.5862
2019-08-28,3000,2178.57,5178.57,0.4207,0.5793
2019-08-29,3000,1056.67,4056.67,0.2605,0.7395
2019-08-30,3000,2223.08,5223.08,0.4256,0.5744
2019-08-31,3000,1296.81,4296.8099999999995,0.3018,0.6982
2019-09-01,3000,2424.97,5424.969999999999,0.447,0.553
2019-09-02,3000,1307.62,4307.62,0.3036,0.6964
2019-09-03,2500,2006.42,4506.42,0.4452,0.5548
2019-09-04,2500,1255.01,3755.01,0.3342,0.6658
2019-09-05,2500,1201.09,3701.09,0.3245,0.6755
2019-09-06,2500,1292.58,3792.58,0.3408,0.6592
2019-09-07,2500,2504.83,5004.83,0.5005,0.4995
2019-09-08,2500,1362.1,3862.1,0.3527,0.6473
2019-09-09,2500,1749.21,4249.21,0.4117,0.5883
2019-09-10,3000,2441.62,5441.62,0.4487,0.5513
2019-09-11,3000,1683.99,4683.99,0.3595,0.6405
2019-09-12,3000,1117.36,4117.36,0.2714,0.7286
2019-09-13,3000,1079.34,4079.34,0.2646,0.7354
2019-09-14,3000,1408.06,4408.0599999999995,0.3194,0.6806
2019-09-15,3000,2546.67,5546.67,0.4591,0.5409
2019-09-16,3000,1514.85,4514.85,0.3355,0.6645
2019-09-17,2500,2787.02,5287.02,0.5271,0.4729
2019-09-18,2500,2297.87,4797.87,0.4789,0.5211
2019-09-19,2500,1072.89,3572.8900000000003,0.3003,0.6997
2019-09-20,2500,1497.56,3997.56,0.3746,0.6254
2019-09-21,2500,1098.2,3598.2,0.3052,0.6948
2019-09-22,2500,1895.73,4395.73,0.4313,0.5687
2019-09-23,2500,2908.1,5408.1,0.5377,0.4623
2019-09-24,3000,1310.85,4310.85,0.3041,0.6959
2019-09-25,3000,1736.19,4736.1900000000005,0.3666,0.6334
2019-09-26,3000,767.58,3767.58,0.2037,0.7963
2019-09-27,3000,1660.74,4660.74,0.3563,0.6437
2019-09-28,3000,1394.83,4394.83,0.3174,0.6826
2019-09-29,3000,3713.1,6713.1,0.5531,0.4469
2019-09-30,3000,1478.16,4478.16,0.3301,0.6699
2019-10-01,3000,1991.44,4991.4400000000005,0.399,0.601
2019-10-02,3000,899.05,3899.05,0.2306,0.7694
2019-10-03,3000,2015.98,5015.98,0.4019,0.5981
2019-10-04,3000,2411.39,5411.389999999999,0.4456,0.5544
2019-10-05,3000,1511.94,4511.9400000000005,0.3351,0.6649
2019-10-06,3000,2230.76,5230.76,0.4265,0.5735
2019-10-07,3000,2154.78,5154.780000000001,0.418,0.582
2019-10-08,3500,1799.54,5299.54,0.3396,0.6604
2019-10-09,3500,734.31,4234.3099999999995,0.1734,0.8266
2019-10-10,3500,3705.5,7205.5,0.5143,0.4857
2019-10-11,3500,1450.93,4950.93,0.2931,0.7069
2019-10-12,3500,2839.32,6339.32,0.4479,0.5521
2019-10-13,3500,1353.34,4853.34,0.2788,0.7212
2019-10-14,3500,2114.35,5614.35,0.3766,0.6234
2019-10-15,2500,1317.89,3817.8900000000003,0.3452,0.6548
2019-10-16,2500,1218.6,3718.6,0.3277,0.6723
2019-10-17,2500,1783.56,4283.5599999999995,0.4164,0.5836
2019-10-18,2500,1150.51,3650.51,0.3152,0.6848
2019-10-19,2500,1631.19,4131.1900000000005,0.3948,0.6052
2019-10-20,2500,2827.25,5327.25,0.5307,0.4693
2019-10-21,2500,2848.39,5348.389999999999,0.5326,0.4674
2019-10-22,3500,1900.77,5400.77,0.3519,0.6481
2019-10-23,3500,1153.81,4653.8099999999995,0.2479,0.7521
2019-10-24,3500,2330.24,5830.24,0.3997,0.6003
2019-10-25,3500,1416.14,4916.14,0.2881,0.7119
2019-10-26,3500,2374.99,5874.99,0.4043,0.5957
2019-10-27,3500,3271.55,6771.55,0.4831,0.5169
2019-10-28,3500,1691.02,5191.02,0.3258,0.6742
2019-10-29,2000,1564.09,3564.09,0.4388,0.5612
2019-10-30,2000,780.15,2780.15,0.2806,0.7194
2019-10-31,2000,1251.87,3251.87,0.385,0.615
2019-11-01,2000,1224.01,3224.01,0.3797,0.6203
2019-11-02,2000,2437.58,4437.58,0.5493,0.4507
2019-11-03,2000,2294.09,4294.09,0.5342,0.4658
2019-11-04,2000,2478.79,4478.79,0.5535,0.4465
2019-11-05,3500,2019.94,5519.9400000000005,0.3659,0.6341
2019-11-06,3500,2546.6,6046.6,0.4212,0.5788
2019-11-07,3500,1252.63,4752.63,0.2636,0.7364
2019-11-08,3500,2087.49,5587.49,0.3736,0.6264
2019-11-09,3500,2926.69,6426.6900000000005,0.4554,0.5446
2019-11-10,3500,2431.73,5931.73,0.41,0.59
2019-11-11,3500,2643.34,6143.34,0.4303,0.5697
2019-11-12,4000,3390.82,7390.82,0.4588,0.5412
2019-11-13,4000,2400.95,6400.95,0.3751,0.6249
2019-11-14,4000,855.19,4855.1900000000005,0.1761,0.8239
2019-11-15,4000,737.08,4737.08,0.1556,0.8444
2019-11-16,4000,2716.48,6716.48,0.4044,0.5956
2019-11-17,4000,2964.3,6964.3,0.4256,0.5744
2019-11-18,4000,2825.78,6825.780000000001,0.414,0.586
2019-11-19,2500,1915.27,4415.27,0.4338,0.5662
2019-11-20,2500,1893.03,4393.03,0.4309,0.5691
2019-11-21,2500,484.9,2984.9,0.1625,0.8375
2019-11-22,2500,2071.31,4571.3099999999995,0.4531,0.5469
2019-11-23,2500,2972.6,5472.6,0.5432,0.4568
2019-11-24,2500,3875.08,6375.08,0.6078,0.3922
2019-11-25,2500,2643.59,5143.59,0.514,0.486
2019-11-26,3000,1642.31,4642.3099999999995,0.3538,0.6462
2019-11-27,3000,2819.58,5819.58,0.4845,0.5155
2019-11-28,3000,1375.26,4375.26,0.3143,0.6857
2019-11-29,3000,4556.93,7556.93,0.603,0.397
2019-11-30,3000,1661.61,4661.61,0.3564,0.6436
2019-12-01,3000,2358.1,5358.1,0.4401,0.5599
2019-12-02,3000,1907.19,4907.1900000000005,0.3887,0.6113
2019-12-03,3500,2011.57,5511.57,0.365,0.635
2019-12-04,3500,909.19,4409.1900000000005,0.2062,0.7938
2019-12-05,3500,2973.53,6473.530000000001,0.4593,0.5407
2019-12-06,3500,1957.58,5457.58,0.3587,0.6413
2019-12-07,3500,3396.14,6896.139999999999,0.4925,0.5075
2019-12-08,3500,2671.9,6171.9,0.4329,0.5671
2019-12-09,3500,2481.51,5981.51,0.4149,0.5851
2019-12-10,4000,3897.2,7897.2,0.4935,0.5065
2019-12-11,4000,1612.93,5612.93,0.2874,0.7126
2019-12-12,4000,2904.23,6904.23,0.4206,0.5794
2019-12-13,4000,3100.42,7100.42,0.4367,0.5633
2019-12-14,4000,3434.31,7434.3099999999995,0.462,0.538
2019-12-15,4000,3577.45,7577.45,0.4721,0.5279
2019-12-16,4000,3116.98,7116.98,0.438,0.562
2019-12-17,4500,1658.91,6158.91,0.2694,0.7306
2019-12-18,4500,663.46,5163.46,0.1285,0.8715
2019-12-19,4500,2829.71,7329.71,0.3861,0.6139
2019-12-20,4500,2876.39,7376.389999999999,0.3899,0.6101
2019-12-21,4500,3112.73,7612.73,0.4089,0.5911
2019-12-22,4500,2309.46,6809.46,0.3392,0.6608
2019-12-23,4500,2199.69,6699.6900000000005,0.3283,0.6717
2019-12-24,4000,3749.46,7749.46,0.4838,0.5162
2019-12-25,4000,1133.7,5133.7,0.2208,0.7792
2019-12-26,4000,1881.66,5881.66,0.3199,0.6801
2019-12-27,4000,3396.87,7396.87,0.4592,0.5408
2019-12-28,4000,3246.84,7246.84,0.448,0.552
2019-12-29,4000,2546.58,6546.58,0.389,0.611
2019-12-30,4000,674.31,4674.3099999999995,0.1443,0.8557
2019-12-31,4000,2058.75,6058.75,0.3398,0.6602
